Sales Id,Region,Country,Item Type,Sales Channel,Order Priority,,,
65,Central America and the Caribbean,Trinidad and Tobago,Household,Online,H,,,
66,Middle East and North Africa,Somalia,Baby Food,Online,M,,,
67,Sub-Saharan Africa,Nigeria,Snacks,Online,C,,,
68,Sub-Saharan Africa,South Africa,Beverages,Online,H,,,
69,Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,H,,,
70,Sub-Saharan Africa,Sudan,Beverages,Online,M,,,
71,Middle East and North Africa,Algeria,Clothes,Offline,M,,,
72,Europe,Netherlands,Meat,Offline,M,,,
73,Central America and the Caribbean,Panama,Meat,Online,H,,,
74,Australia and Oceania,Solomon Islands,Baby Food,Offline,C,,,
75,Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Online,C,,,
76,Middle East and North Africa,Iran,Office Supplies,Online,H,,,
77,Australia and Oceania,Vanuatu,Fruits,Online,M,,,
78,Australia and Oceania,Federated States of Micronesia,Office Supplies,Online,L,,,
79,Sub-Saharan Africa,Equatorial Guinea,Household,Online,H,,,
80,Europe,Russia,Household,Online,M,,,
81,Middle East and North Africa,Azerbaijan,Baby Food,Offline,H,,,
82,Middle East and North Africa,Iraq,Office Supplies,Online,H,,,
83,Sub-Saharan Africa,Mauritius ,Cereal,Online,H,,,
84,Sub-Saharan Africa,Eritrea,Household,Online,H,,,
85,Europe,Ukraine,Cosmetics,Online,H,,,
86,Asia,Myanmar,Cosmetics,Online,C,,,
87,Europe,Bosnia and Herzegovina,Meat,Online,H,,,
88,Europe,Latvia,Meat,Offline,M,,,
89,Europe,Serbia,Beverages,Online,L,,,
90,Asia,Mongolia,Beverages,Offline,H,,,
91,Central America and the Caribbean,Grenada,Cereal,Online,H,,,
92,Sub-Saharan Africa,Namibia,Office Supplies,Online,H,,,
93,Europe,Portugal,Office Supplies,Online,M,,,
94,Central America and the Caribbean,Barbados,Snacks,Online,H,,,
95,Asia,Sri Lanka,Cereal,Online,C,,,
96,Europe,Poland,Household,Offline,L,,,
97,Sub-Saharan Africa,Senegal,Beverages,Offline,L,,,
98,Australia and Oceania,Kiribati,Fruits,Online,L,,,
99,Middle East and North Africa,Somalia,Household,Offline,C,,,
100,Sub-Saharan Africa,Burundi,Meat,Online,L,,,
101,Asia,Malaysia,Household,Online,L,,,
102,Central America and the Caribbean,Haiti,Vegetables,Offline,C,,,
103,Europe,Liechtenstein,Cosmetics,Online,L,,,
104,Sub-Saharan Africa,Zambia,Cereal,Offline,H,,,
105,Europe,United Kingdom,Beverages,Online,C,,,
106,Australia and Oceania,Vanuatu,Fruits,Offline,L,,,
107,Australia and Oceania,Tuvalu,Personal Care,Offline,M,,,
108,Central America and the Caribbean,Antigua and Barbuda ,Household,Online,M,,,
109,Central America and the Caribbean,Haiti,Clothes,Offline,L,,,
110,Europe,Slovenia,Fruits,Online,H,,,
111,Europe,Malta,Vegetables,Online,M,,,
112,Asia,Bhutan,Office Supplies,Offline,M,,,
113,Sub-Saharan Africa,Eritrea,Office Supplies,Offline,H,,,
114,Europe,Ukraine,Personal Care,Online,M,,,
115,Asia,Singapore,Personal Care,Offline,M,,,
116,Sub-Saharan Africa,Cameroon,Household,Offline,H,,,
117,Europe,Cyprus,Fruits,Offline,M,,,
118,Europe,Poland,Office Supplies,Offline,M,,,
119,Europe,Monaco,Personal Care,Online,L,,,
120,Australia and Oceania,Vanuatu,Office Supplies,Online,L,,,
121,Sub-Saharan Africa,Gabon,Office Supplies,Offline,H,,,
122,Sub-Saharan Africa,Djibouti,Baby Food,Offline,H,,,
123,Sub-Saharan Africa,Namibia,Office Supplies,Online,C,,,
124,Europe,Estonia,Cosmetics,Online,C,,,
125,Europe,Norway,Cereal,Online,M,,,
126,Sub-Saharan Africa,Ethiopia,Personal Care,Online,L,,,
127,Sub-Saharan Africa,Burundi,Meat,Offline,M,,,
128,Asia,Thailand,Beverages,Offline,C,,,
129,Sub-Saharan Africa,Mauritius ,Meat,Offline,L,,,
130,Sub-Saharan Africa,Uganda,Vegetables,Online,H,,,
131,Europe,Luxembourg,Snacks,Online,H,,,
132,Sub-Saharan Africa,The Gambia,Beverages,Online,C,,,
133,Middle East and North Africa,United Arab Emirates,Beverages,Online,M,,,
134,Central America and the Caribbean,Haiti,Meat,Offline,M,,,
135,Europe,Luxembourg,Snacks,Online,H,,,
136,Central America and the Caribbean,Saint Lucia,Meat,Online,L,,,
137,Middle East and North Africa,Iraq,Meat,Online,C,,,
138,Europe,Armenia,Fruits,Online,M,,,
139,Asia,Singapore,Personal Care,Offline,M,,,
140,Middle East and North Africa,Jordan,Clothes,Online,M,,,
141,Australia and Oceania,Tonga,Meat,Online,M,,,
142,Europe,Bulgaria,Snacks,Offline,L,,,
143,Sub-Saharan Africa,Sudan,Office Supplies,Online,C,,,
144,Sub-Saharan Africa,Mali,Baby Food,Online,H,,,
145,Asia,Myanmar,Cosmetics,Online,L,,,
146,Asia,Sri Lanka,Meat,Offline,L,,,
147,Middle East and North Africa,Azerbaijan,Office Supplies,Online,C,,,
148,Sub-Saharan Africa,Tanzania,Office Supplies,Offline,C,,,
149,Sub-Saharan Africa,Swaziland,Household,Offline,C,,,
150,Asia,Myanmar,Meat,Online,L,,,
151,Europe,Denmark,Beverages,Online,H,,,
152,Sub-Saharan Africa,Seychelles ,Fruits,Offline,M,,,
153,Sub-Saharan Africa,Madagascar,Cosmetics,Offline,C,,,
154,Central America and the Caribbean,Saint Lucia,Beverages,Online,L,,,
155,Sub-Saharan Africa,Mauritius ,Cereal,Online,C,,,
156,Asia,Taiwan,Household,Online,H,,,
157,Middle East and North Africa,Morocco,Cereal,Online,C,,,
158,Middle East and North Africa,Jordan,Cereal,Online,C,,,
159,Asia,China,Cosmetics,Offline,H,,,
160,Asia,South Korea,Snacks,Offline,H,,,
161,North America,United States of America,Office Supplies,Online,L,,,
162,Asia,Uzbekistan,Cosmetics,Online,H,,,
163,Europe,Finland,Vegetables,Offline,L,,,
164,Asia,Philippines,Cereal,Online,C,,,
165,Middle East and North Africa,Libya,Office Supplies,Offline,L,,,
166,Sub-Saharan Africa,South Sudan,Office Supplies,Online,L,,,
167,Middle East and North Africa,Kuwait,Snacks,Online,C,,,
168,Central America and the Caribbean,Saint Lucia,Household,Offline,H,,,
169,Central America and the Caribbean,Grenada,Meat,Online,M,,,
170,Sub-Saharan Africa,Namibia,Cereal,Online,H,,,
171,Australia and Oceania,Solomon Islands,Beverages,Offline,L,,,
172,Asia,Philippines,Household,Offline,H,,,
173,Asia,Turkmenistan,Household,Online,M,,,
174,Europe,Kosovo,Fruits,Online,L,,,
175,Asia,Singapore,Clothes,Online,C,,,
176,Sub-Saharan Africa,South Africa,Office Supplies,Offline,L,,,
177,Middle East and North Africa,Lebanon,Cosmetics,Online,M,,,
178,Australia and Oceania,Samoa ,Vegetables,Online,L,,,
179,Australia and Oceania,Samoa ,Personal Care,Offline,L,,,
180,Europe,Hungary,Baby Food,Online,M,,,
181,Middle East and North Africa,Pakistan,Vegetables,Offline,L,,,
182,Australia and Oceania,Tonga,Vegetables,Offline,C,,,
183,Australia and Oceania,Vanuatu,Personal Care,Online,H,,,
184,Australia and Oceania,Vanuatu,Snacks,Online,M,,,
185,Central America and the Caribbean,Grenada,Vegetables,Online,C,,,
186,Sub-Saharan Africa,Mozambique,Household,Offline,H,,,
187,Central America and the Caribbean,Cuba,Cereal,Offline,H,,,
188,Middle East and North Africa,Algeria,Beverages,Online,M,,,
189,Sub-Saharan Africa,Equatorial Guinea,Vegetables,Offline,M,,,
190,Sub-Saharan Africa,Uganda,Office Supplies,Offline,C,,,
191,Asia,Thailand,Cosmetics,Offline,H,,,
192,Middle East and North Africa,Turkey,Personal Care,Offline,H,,,
193,Asia,Kazakhstan,Personal Care,Offline,H,,,
194,Central America and the Caribbean,Nicaragua,Snacks,Offline,H,,,
195,Asia,Kazakhstan,Cereal,Online,L,,,
196,Sub-Saharan Africa,Chad,Cereal,Offline,C,,,
197,Australia and Oceania,East Timor,Fruits,Online,H,,,
198,Europe,Lithuania,Cosmetics,Offline,L,,,
199,Sub-Saharan Africa,Eritrea,Cosmetics,Online,C,,,
200,Sub-Saharan Africa,Zambia,Household,Offline,H,,,
201,Sub-Saharan Africa,Liberia,Household,Offline,M,,,
202,Central America and the Caribbean,Saint Kitts and Nevis ,Household,Offline,M,,,
203,Central America and the Caribbean,Jamaica,Meat,Online,H,,,
204,Europe,Albania,Vegetables,Online,C,,,
205,Asia,Japan,Baby Food,Offline,C,,,
206,Sub-Saharan Africa,Equatorial Guinea,Meat,Offline,L,,,
207,Asia,Myanmar,Office Supplies,Online,C,,,
208,Middle East and North Africa,Libya,Personal Care,Offline,H,,,
209,Asia,Mongolia,Meat,Online,L,,,
210,Asia,Singapore,Snacks,Offline,M,,,
211,Central America and the Caribbean,The Bahamas,Baby Food,Offline,L,,,
212,Asia,Sri Lanka,Office Supplies,Offline,L,,,
213,Europe,Cyprus,Vegetables,Offline,C,,,
214,Middle East and North Africa,Afghanistan,Baby Food,Online,C,,,
215,Europe,Moldova ,Personal Care,Online,M,,,
216,Europe,Kosovo,Cosmetics,Offline,C,,,
217,Middle East and North Africa,Egypt,Household,Online,M,,,
218,Europe,Albania,Cosmetics,Offline,L,,,
219,Asia,Singapore,Vegetables,Offline,C,,,
220,Europe,Portugal,Baby Food,Online,L,,,
221,Asia,India,Snacks,Offline,M,,,
222,Sub-Saharan Africa,Sudan,Meat,Online,C,,,
223,Australia and Oceania,Vanuatu,Office Supplies,Offline,M,,,
224,Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Online,C,,,
225,Europe,Bosnia and Herzegovina,Baby Food,Online,C,,,
226,Europe,Kosovo,Vegetables,Offline,C,,,
227,Europe,Switzerland,Cosmetics,Online,C,,,
228,Central America and the Caribbean,Cuba,Beverages,Offline,L,,,
229,Europe,Lithuania,Office Supplies,Offline,C,,,
230,Middle East and North Africa,Lebanon,Clothes,Online,M,,,
231,Asia,North Korea,Clothes,Online,M,,,
232,Europe,Montenegro,Office Supplies,Offline,H,,,
233,Sub-Saharan Africa,Eritrea,Fruits,Offline,M,,,
234,Sub-Saharan Africa,Democratic Republic of the Congo,Cereal,Online,L,,,
235,Asia,India,Office Supplies,Online,C,,,
236,Sub-Saharan Africa,Republic of the Congo,Snacks,Online,M,,,
237,Sub-Saharan Africa,Comoros,Clothes,Offline,M,,,
238,Europe,France,Meat,Online,L,,,
239,Sub-Saharan Africa,Rwanda,Vegetables,Online,L,,,
240,Sub-Saharan Africa,Malawi,Meat,Online,M,,,
241,Sub-Saharan Africa,Cote d'Ivoire,Cereal,Offline,H,,,
242,Europe,Spain,Fruits,Online,H,,,
243,Sub-Saharan Africa,Uganda,Clothes,Offline,H,,,
244,Asia,Taiwan,Personal Care,Offline,C,,,
245,Middle East and North Africa,Israel,Personal Care,Offline,M,,,
246,Central America and the Caribbean,Costa Rica,Meat,Offline,L,,,
247,Central America and the Caribbean,Honduras,Snacks,Online,C,,,
248,Asia,South Korea,Vegetables,Offline,M,,,
249,Europe,Sweden,Vegetables,Online,H,,,
250,Australia and Oceania,Tonga,Office Supplies,Online,L,,,
251,Europe,Latvia,Snacks,Online,C,,,
252,Asia,Indonesia,Beverages,Online,M,,,
253,Asia,Myanmar,Household,Online,C,,,
254,Asia,Turkmenistan,Office Supplies,Offline,L,,,
255,Central America and the Caribbean,Panama,Baby Food,Online,H,,,
256,Europe,Norway,Personal Care,Offline,M,,,
257,Europe,Estonia,Clothes,Online,H,,,
258,Europe,Malta,Personal Care,Offline,M,,,
259,Sub-Saharan Africa,Eritrea,Personal Care,Offline,L,,,
260,Sub-Saharan Africa,Republic of the Congo,Meat,Offline,M,,,
261,Central America and the Caribbean,Trinidad and Tobago,Snacks,Offline,H,,,
262,Middle East and North Africa,Yemen,Cereal,Offline,H,,,
263,Asia,Turkmenistan,Household,Offline,H,,,
264,Middle East and North Africa,Somalia,Beverages,Offline,H,,,
265,Europe,Portugal,Cereal,Online,C,,,
266,Asia,Kyrgyzstan,Fruits,Offline,L,,,
267,Middle East and North Africa,Lebanon,Personal Care,Offline,H,,,
268,Europe,Macedonia,Cosmetics,Online,C,,,
269,Middle East and North Africa,Algeria,Clothes,Offline,M,,,
270,Middle East and North Africa,Qatar,Vegetables,Online,H,,,
271,Europe,Greece,Personal Care,Offline,M,,,
272,Sub-Saharan Africa,Benin,Fruits,Online,M,,,
273,Asia,Uzbekistan,Baby Food,Offline,C,,,
274,Middle East and North Africa,Azerbaijan,Vegetables,Online,L,,,
275,Asia,Cambodia,Clothes,Online,C,,,
276,Europe,Italy,Personal Care,Online,C,,,
277,Sub-Saharan Africa,Mauritius ,Cosmetics,Online,H,,,
278,Middle East and North Africa,Yemen,Clothes,Online,H,,,
279,Central America and the Caribbean,Cuba,Vegetables,Offline,C,,,
280,Australia and Oceania,Tonga,Fruits,Online,L,,,
281,Central America and the Caribbean,Guatemala,Vegetables,Online,M,,,
282,Australia and Oceania,New Zealand,Personal Care,Online,L,,,
283,Europe,Norway,Household,Offline,M,,,
284,Sub-Saharan Africa,South Africa,Personal Care,Online,H,,,
285,Sub-Saharan Africa,Zambia,Snacks,Offline,M,,,
286,Central America and the Caribbean,Saint Kitts and Nevis ,Cereal,Online,M,,,
287,Asia,Indonesia,Beverages,Offline,H,,,
288,Europe,Netherlands,Household,Offline,C,,,
289,Asia,Thailand,Snacks,Offline,M,,,
290,Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,C,,,
291,Sub-Saharan Africa,Equatorial Guinea,Fruits,Offline,M,,,
292,Asia,Tajikistan,Beverages,Offline,C,,,
293,Sub-Saharan Africa,Botswana,Meat,Offline,L,,,
294,Central America and the Caribbean,Dominican Republic,Fruits,Offline,L,,,
295,Australia and Oceania,Samoa ,Beverages,Online,M,,,
296,Europe,Belgium,Vegetables,Offline,C,,,
297,Australia and Oceania,Federated States of Micronesia,Cosmetics,Online,L,,,
298,Sub-Saharan Africa,Botswana,Fruits,Online,L,,,
299,Asia,Vietnam,Cereal,Online,L,,,
300,Europe,Kosovo,Fruits,Online,C,,,
301,Europe,Germany,Baby Food,Offline,L,,,
302,Europe,Hungary,Beverages,Online,L,,,
303,Central America and the Caribbean,Saint Lucia,Cereal,Online,L,,,
304,Sub-Saharan Africa,Madagascar,Snacks,Online,M,,,
305,Europe,Bulgaria,Cosmetics,Online,C,,,
306,Asia,Myanmar,Vegetables,Online,H,,,
307,Sub-Saharan Africa,Togo,Baby Food,Offline,H,,,
308,Australia and Oceania,Australia,Vegetables,Online,C,,,
309,Middle East and North Africa,Morocco,Baby Food,Offline,M,,,
310,Middle East and North Africa,Qatar,Clothes,Offline,L,,,
311,Europe,Bosnia and Herzegovina,Fruits,Online,H,,,
312,Middle East and North Africa,Iraq,Baby Food,Offline,L,,,
313,Europe,Russia,Personal Care,Online,L,,,
314,Middle East and North Africa,Lebanon,Meat,Online,M,,,
315,Europe,Albania,Snacks,Online,H,,,
316,Australia and Oceania,Samoa ,Cereal,Offline,C,,,
317,Europe,Slovenia,Fruits,Offline,M,,,
318,Europe,Macedonia,Personal Care,Online,L,,,
319,Middle East and North Africa,Lebanon,Cereal,Online,L,,,
320,Sub-Saharan Africa,Comoros,Household,Offline,M,,,
321,Sub-Saharan Africa,Cameroon,Cosmetics,Offline,H,,,
322,Europe,Albania,Meat,Offline,H,,,
323,Europe,Sweden,Cosmetics,Online,L,,,
324,Sub-Saharan Africa,Liberia,Cereal,Offline,H,,,
325,Europe,Norway,Meat,Online,M,,,
326,Middle East and North Africa,Israel,Fruits,Online,H,,,
327,Central America and the Caribbean,Cuba,Office Supplies,Offline,L,,,
328,Central America and the Caribbean,Nicaragua,Meat,Offline,M,,,
329,Middle East and North Africa,Kuwait,Personal Care,Offline,L,,,
330,North America,United States of America,Cereal,Offline,M,,,
331,Sub-Saharan Africa,Rwanda,Snacks,Offline,M,,,
332,Central America and the Caribbean,Jamaica,Cereal,Online,C,,,
333,Europe,Czech Republic,Personal Care,Online,M,,,
334,Sub-Saharan Africa,Kenya,Vegetables,Online,H,,,
335,Sub-Saharan Africa,Central African Republic,Beverages,Offline,H,,,
336,Middle East and North Africa,Jordan,Cosmetics,Offline,C,,,
337,Middle East and North Africa,Tunisia ,Household,Offline,M,,,
338,Europe,Andorra,Cereal,Online,H,,,
339,North America,United States of America,Household,Offline,M,,,
340,Sub-Saharan Africa,Cote d'Ivoire,Beverages,Offline,L,,,
341,Europe,Iceland,Cosmetics,Online,C,,,
342,Europe,Poland,Personal Care,Offline,C,,,
343,Sub-Saharan Africa,Madagascar,Vegetables,Offline,C,,,
344,Central America and the Caribbean,Saint Kitts and Nevis ,Personal Care,Online,L,,,
345,Asia,Sri Lanka,Cosmetics,Offline,L,,,
346,Sub-Saharan Africa,Comoros,Cosmetics,Offline,H,,,
347,Sub-Saharan Africa,Senegal,Fruits,Offline,H,,,
348,Europe,Finland,Vegetables,Online,H,,,
349,Sub-Saharan Africa,Sao Tome and Principe,Baby Food,Online,L,,,
350,Europe,Poland,Beverages,Offline,C,,,
351,Asia,Turkmenistan,Meat,Offline,H,,,
352,Middle East and North Africa,Saudi Arabia,Office Supplies,Offline,M,,,
353,Asia,Brunei,Snacks,Offline,M,,,
354,Asia,Philippines,Cereal,Online,M,,,
355,Asia,India,Office Supplies,Online,M,,,
356,Sub-Saharan Africa,Cote d'Ivoire,Baby Food,Online,H,,,
357,Australia and Oceania,Vanuatu,Snacks,Offline,M,,,
358,Asia,Japan,Baby Food,Offline,H,,,
359,Australia and Oceania,Nauru,Cosmetics,Online,M,,,
360,Middle East and North Africa,Pakistan,Office Supplies,Offline,L,,,
361,Middle East and North Africa,Morocco,Vegetables,Offline,H,,,
362,Sub-Saharan Africa,Cameroon,Household,Online,C,,,
363,Europe,Croatia,Beverages,Offline,L,,,
364,Asia,Thailand,Clothes,Offline,L,,,
365,Asia,Kyrgyzstan,Meat,Online,M,,,
366,Europe,Poland,Meat,Online,H,,,
367,Europe,Switzerland,Baby Food,Online,C,,,
368,Sub-Saharan Africa,Sao Tome and Principe,Vegetables,Offline,L,,,
369,Australia and Oceania,New Zealand,Meat,Online,H,,,
370,Sub-Saharan Africa,Equatorial Guinea,Personal Care,Online,H,,,
371,Australia and Oceania,New Zealand,Personal Care,Offline,H,,,
372,Sub-Saharan Africa,Liberia,Vegetables,Online,H,,,
373,Europe,Bosnia and Herzegovina,Personal Care,Offline,L,,,
374,Australia and Oceania,Marshall Islands,Fruits,Online,H,,,
375,Asia,South Korea,Snacks,Online,L,,,
376,Europe,Hungary,Beverages,Offline,M,,,
377,Europe,Sweden,Cereal,Offline,L,,,
378,Europe,Slovakia,Household,Offline,L,,,
379,Middle East and North Africa,Morocco,Baby Food,Offline,M,,,
380,Australia and Oceania,Samoa ,Office Supplies,Online,M,,,
381,Australia and Oceania,Papua New Guinea,Baby Food,Online,M,,,
382,Sub-Saharan Africa,Ghana,Baby Food,Offline,C,,,
383,Sub-Saharan Africa,Niger,Vegetables,Online,H,,,
384,Asia,India,Baby Food,Offline,M,,,
385,Asia,Philippines,Clothes,Online,C,,,
386,Middle East and North Africa,Jordan,Personal Care,Online,H,,,
387,Europe,Czech Republic,Baby Food,Offline,H,,,
388,Australia and Oceania,East Timor,Snacks,Offline,H,,,
389,Europe,Bosnia and Herzegovina,Office Supplies,Offline,C,,,
390,Middle East and North Africa,Bahrain,Meat,Offline,M,,,
391,Asia,Nepal,Fruits,Offline,L,,,
392,Asia,Maldives,Cosmetics,Offline,C,,,
393,Australia and Oceania,Tuvalu,Vegetables,Offline,C,,,
394,Asia,Philippines,Cereal,Offline,M,,,
395,North America,United States of America,Vegetables,Offline,H,,,
396,Sub-Saharan Africa,Tanzania,Fruits,Offline,M,,,
397,Central America and the Caribbean,Barbados,Household,Offline,L,,,
398,Europe,Kosovo,Meat,Offline,H,,,
399,Asia,Nepal,Office Supplies,Offline,H,,,
400,Sub-Saharan Africa,Guinea-Bissau,Fruits,Online,C,,,
401,Europe,Monaco,Personal Care,Online,H,,,
402,Europe,Portugal,Beverages,Offline,H,,,
403,Asia,Turkmenistan,Clothes,Online,M,,,
404,Asia,Thailand,Meat,Online,M,,,
405,Australia and Oceania,Vanuatu,Vegetables,Online,L,,,
406,Sub-Saharan Africa,Central African Republic,Household,Online,C,,,
407,Asia,Maldives,Personal Care,Online,C,,,
408,Europe,Germany,Cereal,Offline,C,,,
409,Sub-Saharan Africa,Botswana,Cosmetics,Online,H,,,
410,Europe,Vatican City,Beverages,Online,C,,,
411,Europe,Denmark,Baby Food,Offline,H,,,
412,Sub-Saharan Africa,South Sudan,Fruits,Online,L,,,
413,Sub-Saharan Africa,Senegal,Vegetables,Online,M,,,
414,Europe,Estonia,Beverages,Offline,C,,,
415,Europe,Belarus,Vegetables,Online,L,,,
416,Asia,Myanmar,Vegetables,Online,H,,,
417,Australia and Oceania,New Zealand,Baby Food,Online,L,,,
418,North America,United States of America,Snacks,Online,C,,,
419,Europe,Italy,Snacks,Online,M,,,
420,Europe,Kosovo,Office Supplies,Online,C,,,
421,Europe,Ireland,Vegetables,Offline,C,,,
422,Central America and the Caribbean,Antigua and Barbuda ,Snacks,Online,H,,,
423,Asia,Bangladesh,Household,Offline,C,,,
424,Middle East and North Africa,Lebanon,Clothes,Offline,C,,,
425,North America,Greenland,Household,Offline,H,,,
426,Sub-Saharan Africa,Guinea,Fruits,Online,M,,,
427,North America,United States of America,Baby Food,Offline,C,,,
428,Australia and Oceania,East Timor,Meat,Online,C,,,
429,Sub-Saharan Africa,Niger,Cereal,Online,M,,,
430,Central America and the Caribbean,El Salvador,Fruits,Offline,C,,,
431,Europe,Montenegro,Cosmetics,Offline,L,,,
432,Australia and Oceania,Palau,Baby Food,Offline,H,,,
433,Sub-Saharan Africa,Botswana,Baby Food,Offline,L,,,
434,Europe,Norway,Cereal,Offline,L,,,
435,Asia,Maldives,Fruits,Offline,L,,,
436,Sub-Saharan Africa,Cote d'Ivoire,Meat,Offline,L,,,
437,Europe,Poland,Office Supplies,Online,H,,,
438,Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,L,,,
439,Sub-Saharan Africa,Sierra Leone,Personal Care,Offline,L,,,
440,Central America and the Caribbean,Honduras,Baby Food,Online,M,,,
441,Central America and the Caribbean,Grenada,Household,Online,C,,,
442,Sub-Saharan Africa,Namibia,Baby Food,Online,C,,,
443,Middle East and North Africa,Morocco,Vegetables,Offline,H,,,
444,Asia,Japan,Beverages,Offline,M,,,
445,Europe,Sweden,Baby Food,Online,L,,,
446,Middle East and North Africa,Iran,Personal Care,Online,L,,,
447,Europe,Vatican City,Clothes,Offline,H,,,
448,Europe,Lithuania,Office Supplies,Online,C,,,
449,Central America and the Caribbean,Costa Rica,Meat,Offline,L,,,
450,Middle East and North Africa,Egypt,Snacks,Offline,M,,,
451,Middle East and North Africa,Libya,Baby Food,Offline,H,,,
452,Asia,Thailand,Clothes,Offline,L,,,
453,Middle East and North Africa,Pakistan,Personal Care,Online,C,,,
454,Middle East and North Africa,Libya,Baby Food,Online,C,,,
455,Sub-Saharan Africa,Botswana,Vegetables,Offline,L,,,
456,Central America and the Caribbean,El Salvador,Cereal,Online,L,,,
457,Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,M,,,
458,Sub-Saharan Africa,Comoros,Fruits,Online,M,,,
459,Europe,Croatia,Baby Food,Offline,H,,,
460,Middle East and North Africa,Pakistan,Personal Care,Offline,H,,,
461,Sub-Saharan Africa,Sierra Leone,Beverages,Online,M,,,
462,Asia,Malaysia,Snacks,Offline,L,,,
463,Central America and the Caribbean,Antigua and Barbuda ,Cosmetics,Offline,M,,,
464,Europe,Malta,Personal Care,Online,H,,,
465,Sub-Saharan Africa,Botswana,Household,Offline,M,,,
